Number,YV_y1,YV_y2,YV_y3,IV_x1,IV_x2,IV_x3
1,41.5,45.9,11.2,162,23,3
2,33.8,53.3,11.2,162,23,8
3,27.7,57.5,12.7,162,30,5
4,21.7,58.8,16,162,30,8
5,19.9,60.6,16.2,172,25,5
6,15,58,22.6,172,25,8
7,12.2,58.6,24.5,172,30,5
8,4.3,52.4,38,172,30,8
9,19.3,56.9,21.3,167,27.5,6.5
10,6.4,55.4,30.8,177,27.5,6.5
11,37.6,46.9,14.7,157,27.5,6.5
12,18,57.3,22.2,167,32.5,6.5
13,26.3,55,18.3,167,22.5,6.5
14,9.9,58.9,28,167,27.5,9.5
15,25,50.3,22.1,167,27.5,3.5
16,14.1,61.1,23,177,20,6.5
17,15.2,62.9,20.7,177,20,6.5
18,15.9,60,22.1,160,34,7.5
19,19.6,60.6,19.3,160,34,7.5