PREP,MS,SCHS,AGE65,EMP,F1040,F1040EZ,MTR,DEPS,LOGTPI,INCOME
no,single,0,no,not_selfemp,yes,no,0,2,7.48,52.36
no,single,0,no,not_selfemp,no,yes,0,1,5.77,320.99
no,single,0,no,not_selfemp,no,yes,0,1,6.53,686.02
no,single,0,no,not_selfemp,no,yes,0,1,6.91,1006.97
no,single,0,no,not_selfemp,no,yes,0,1,7.34,1545.03
no,single,0,no,not_selfemp,no,yes,0,1,7.41,1650.94
no,single,0,no,not_selfemp,yes,no,0,2,7.48,1769.94
no,single,0,no,not_selfemp,yes,no,0,1,7.51,1822.93
no,single,0,no,not_selfemp,no,yes,0,1,7.59,1986.04
no,single,0,no,not_selfemp,no,yes,0,1,7.67,2149.09
no,single,0,no,not_selfemp,no,yes,0,1,7.84,2549.88
no,single,0,no,not_selfemp,no,no,0,1,7.97,2900.97
no,single,0,no,not_selfemp,no,yes,0,1,8,2977.98
yes,single,0,no,not_selfemp,yes,no,0,1,8.09,3261.04
no,single,0,no,not_selfemp,no,yes,0,1,8.09,3267.89
no,single,0,yes,not_selfemp,no,no,0,2,8.12,3364.05
no,married,0,no,not_selfemp,no,no,0,5,8.24,3797.13
no,single,0,yes,not_selfemp,no,no,0,2,8.36,4276.97
no,single,0,no,not_selfemp,no,yes,0,1,8.09,4510.73
no,single,0,no,not_selfemp,yes,no,0,1,8.55,5152.82
yes,married,0,no,not_selfemp,yes,no,0,6,8.68,5889.93
no,married,0,yes,not_selfemp,yes,no,0,4,8.8,6617.02
yes,married,2,no,selfemp,yes,no,0,5,9.34,11228.51
yes,married,2,no,selfemp,yes,no,0,5,9.34,12508.65
yes,married,2,no,selfemp,yes,no,0,5,9.34,13591.2
yes,married,2,no,selfemp,yes,no,0,5,9.34,15105.49
yes,married,1,no,not_selfemp,yes,no,0,4,10.3,29346.85
yes,single,1,no,not_selfemp,yes,no,11,1,7.18,1313.04
yes,single,0,no,not_selfemp,yes,no,11,1,8.1,3301.06
no,single,0,no,not_selfemp,no,yes,11,1,8.12,3372.13
no,single,0,no,not_selfemp,no,yes,11,1,8.16,3497.14
no,single,0,no,not_selfemp,no,yes,11,1,8.37,3730.55
no,single,0,no,not_selfemp,no,yes,11,1,8.23,3760.85
no,single,0,no,not_selfemp,no,yes,11,1,8.34,4172.21
no,single,0,no,not_selfemp,no,yes,11,1,8.37,4331.2
no,single,0,yes,not_selfemp,yes,no,11,3,8.8,6605.78
no,single,0,no,not_selfemp,no,no,11,4,8.91,7393.82
no,single,0,no,not_selfemp,no,no,11,4,8.97,7865.17
yes,married,1,yes,not_selfemp,yes,no,11,4,9.17,8775.97
no,married,0,no,not_selfemp,no,no,11,3,9.17,9566.28
yes,married,1,yes,not_selfemp,yes,no,11,4,9.17,9643.12
yes,married,1,yes,not_selfemp,yes,no,11,4,9.17,11013.25
no,single,0,no,not_selfemp,no,yes,12,1,8.43,4565.12
no,single,0,no,not_selfemp,no,no,12,2,8.81,4931.97
no,single,0,no,not_selfemp,no,no,12,2,8.81,6721.05
no,single,0,no,not_selfemp,no,no,12,3,9.02,8232.13
yes,single,0,no,not_selfemp,no,no,12,3,9.09,8716.75
yes,married,0,yes,not_selfemp,yes,no,12,3,9.76,17411.74
no,married,1,no,not_selfemp,yes,no,12,4,10.03,22631.54
no,married,1,no,not_selfemp,yes,no,12,4,10.03,22842.73
no,single,0,no,not_selfemp,yes,no,12,3,10.27,28778.96
yes,single,0,no,not_selfemp,yes,no,14,1,8.67,6336.61
no,single,0,no,not_selfemp,no,yes,14,1,8.79,6559.7
no,single,1,no,not_selfemp,yes,no,14,1,8.84,6909.83
no,single,0,no,not_selfemp,no,yes,14,1,8.91,7188.77
no,single,0,no,not_selfemp,no,yes,14,1,8.91,7425.68
no,single,0,no,not_selfemp,no,yes,14,1,8.79,7443.63
no,single,0,no,not_selfemp,no,no,14,1,9.12,9129.81
yes,single,0,no,not_selfemp,yes,no,14,3,9.13,9247.42
yes,single,0,no,not_selfemp,yes,no,14,3,9.24,10300.01
no,single,0,no,not_selfemp,no,no,14,3,9.32,11119.99
yes,single,0,no,not_selfemp,yes,no,14,1,9.53,13828.68
yes,married,1,no,not_selfemp,yes,no,14,4,9.56,14120.74
yes,single,0,yes,not_selfemp,yes,no,14,2,9.58,14514.45
yes,single,0,no,not_selfemp,yes,no,14,1,9.6,14727.92
yes,married,1,yes,not_selfemp,no,no,14,3,9.6,14760.35
yes,single,0,yes,not_selfemp,yes,no,14,2,9.58,14808.21
yes,married,1,no,selfemp,yes,no,14,4,9.64,15324.38
yes,married,1,no,not_selfemp,yes,no,14,4,9.56,15875.58
yes,single,0,no,not_selfemp,yes,no,14,2,9.68,15941.8
yes,married,1,no,selfemp,yes,no,14,5,9.75,17097.71
yes,married,1,no,selfemp,yes,no,14,5,9.75,18256.28
yes,married,0,yes,selfemp,yes,no,14,4,10.11,24681.27
yes,married,1,no,not_selfemp,yes,no,14,5,10.38,32061.14
yes,single,2,no,not_selfemp,yes,no,15,1,8.77,4768.6
yes,single,2,no,not_selfemp,yes,no,15,1,8.77,6427.88
yes,single,2,no,not_selfemp,yes,no,15,1,8.77,7210.65
yes,single,0,no,not_selfemp,no,no,15,1,8.93,7577.97
yes,single,0,no,not_selfemp,no,no,15,1,8.93,8227.06
no,single,0,no,not_selfemp,no,yes,15,1,9.09,8854.67
no,single,0,no,not_selfemp,no,yes,15,1,9.11,9084.27
no,single,0,no,not_selfemp,no,no,15,2,9.17,9605.59
no,single,0,no,not_selfemp,no,no,15,2,9.17,11169.13
no,single,0,no,not_selfemp,no,yes,16,1,9.27,10654.1
no,single,0,no,not_selfemp,no,no,16,1,9.29,10832.43
no,single,0,no,not_selfemp,no,yes,16,1,9.3,10984.06
yes,single,1,no,not_selfemp,yes,no,16,1,9.54,12102.05
yes,single,1,no,not_selfemp,yes,no,16,1,9.54,13960.68
yes,married,1,no,selfemp,yes,no,16,3,9.71,15205.18
yes,married,1,no,selfemp,yes,no,16,3,9.71,16494.79
yes,single,0,yes,not_selfemp,yes,no,16,2,9.77,17005.7
yes,single,0,yes,not_selfemp,yes,no,16,2,9.77,17513.02
yes,married,1,no,selfemp,yes,no,16,3,9.78,17676.65
yes,single,0,yes,not_selfemp,yes,no,16,2,9.77,17792.37
no,married,0,no,not_selfemp,yes,no,16,3,9.85,18709.52
no,married,0,no,not_selfemp,yes,no,16,3,9.85,18967.84
yes,married,1,no,selfemp,yes,no,16,3,9.78,19625.97
yes,married,0,no,not_selfemp,yes,no,16,4,9.9,19970.27
no,married,1,no,selfemp,yes,no,16,2,10.16,25763.14
yes,single,0,no,not_selfemp,yes,no,17,2,9.39,12005.26
yes,single,0,no,not_selfemp,yes,no,17,2,9.57,13423.8
yes,single,0,no,not_selfemp,yes,no,17,2,9.53,13524.18
yes,single,0,no,not_selfemp,yes,no,17,2,9.53,13830.06
no,single,0,no,not_selfemp,no,no,17,3,9.54,13849.44
yes,single,0,no,not_selfemp,yes,no,17,2,9.57,14316.2
yes,single,0,no,not_selfemp,yes,no,17,2,9.57,14331.28
yes,single,0,no,not_selfemp,yes,no,17,2,9.78,17694.34
no,single,0,no,not_selfemp,no,yes,18,1,9.4,12061.82
yes,single,0,no,not_selfemp,yes,no,18,1,9.41,12620.5
no,single,0,no,not_selfemp,no,yes,18,1,9.49,13274.5
no,single,0,no,not_selfemp,no,yes,18,1,9.4,13302.28
no,single,0,no,not_selfemp,yes,no,18,1,9.51,13438.78
yes,single,0,no,not_selfemp,yes,no,18,2,9.66,14146.16
no,single,0,no,not_selfemp,no,yes,18,1,9.49,14259.88
no,single,0,no,not_selfemp,yes,no,18,1,9.6,14773.64
yes,single,0,no,not_selfemp,yes,no,18,2,9.66,15599.59
yes,single,0,no,not_selfemp,yes,no,18,2,9.66,15699.75
yes,single,0,no,not_selfemp,yes,no,18,2,9.72,16690.58
no,single,0,no,not_selfemp,yes,no,18,2,9.73,16779.28
yes,single,0,no,not_selfemp,yes,no,18,2,9.72,16951.49
no,single,0,no,selfemp,yes,no,18,2,9.74,16963.17
no,married,1,no,not_selfemp,no,no,18,2,9.87,19329.74
yes,single,0,no,not_selfemp,yes,no,18,1,9.92,20410.4
yes,single,0,no,not_selfemp,yes,no,18,3,9.97,20843.77
yes,single,0,no,not_selfemp,yes,no,18,3,9.97,21324.25
yes,married,2,no,selfemp,yes,no,18,2,10.01,22225.6
no,married,1,no,not_selfemp,no,no,18,4,10.04,22820.17
yes,married,1,no,not_selfemp,no,no,18,3,10.07,23581.08
yes,married,0,no,not_selfemp,yes,no,18,2,10.09,23642.64
yes,married,0,no,selfemp,yes,no,18,3,10.09,24004.58
yes,married,0,no,not_selfemp,yes,no,18,2,10.09,24067.07
no,married,1,no,selfemp,yes,no,18,2,10.11,24629.5
yes,married,2,no,selfemp,yes,no,18,4,10.17,26204.86
yes,married,2,no,selfemp,yes,no,18,2,10.01,26614.62
no,single,1,no,not_selfemp,yes,no,18,2,10.22,27556.67
yes,married,3,no,selfemp,yes,no,18,2,10.25,28342
no,married,0,yes,not_selfemp,yes,no,18,3,10.28,29068.2
yes,married,3,no,selfemp,yes,no,18,2,10.25,34229.67
yes,married,3,no,selfemp,yes,no,18,2,10.25,34229.67
yes,married,3,no,selfemp,yes,no,18,2,10.25,34229.67
yes,married,2,no,selfemp,yes,no,18,4,10.17,35123.84
no,single,0,no,not_selfemp,yes,no,20,1,9.57,12666
no,single,0,no,not_selfemp,no,yes,20,1,9.58,13063.39
no,single,0,no,not_selfemp,yes,no,20,1,9.57,14308.37
no,single,0,no,not_selfemp,no,yes,20,1,9.58,14436.28
no,single,0,no,not_selfemp,no,no,20,1,9.61,14923.61
no,single,0,no,not_selfemp,no,no,20,1,9.61,14969.95
no,single,0,no,not_selfemp,no,no,20,1,9.68,15980.11
no,single,0,no,not_selfemp,no,no,20,2,9.85,19015.32
no,single,0,no,not_selfemp,no,no,20,3,9.89,19825.02
no,single,1,no,selfemp,yes,no,20,1,10.21,27282.48
yes,married,1,no,not_selfemp,yes,no,22,2,10.05,23151.16
yes,married,1,no,not_selfemp,yes,no,22,3,10.12,24919.35
yes,married,1,no,not_selfemp,no,no,22,2,10.15,25517
no,married,0,no,not_selfemp,no,no,22,3,10.16,25879.33
no,married,2,no,not_selfemp,yes,no,22,4,10.26,28626.84
yes,married,1,no,not_selfemp,yes,no,22,3,10.31,29050.06
yes,married,1,no,not_selfemp,yes,no,22,2,10.29,29522.26
yes,married,1,no,not_selfemp,yes,no,22,3,10.31,29917.53
yes,married,0,no,not_selfemp,yes,no,22,3,10.32,30281.73
yes,married,1,no,not_selfemp,yes,no,22,4,10.32,30390.95
no,married,1,no,not_selfemp,yes,no,22,5,10.38,32318.66
no,married,0,no,not_selfemp,yes,no,22,4,10.4,32767.75
no,married,1,no,not_selfemp,yes,no,22,5,10.48,35617.77
no,married,2,no,not_selfemp,yes,no,22,4,10.26,35899.05
yes,married,2,no,selfemp,yes,no,22,3,10.86,50944.15
yes,married,2,no,selfemp,yes,no,22,3,10.86,52182.37
yes,married,2,no,selfemp,yes,no,22,3,10.86,54073.69
yes,married,2,no,selfemp,yes,no,22,3,10.86,60143.78
yes,married,2,no,selfemp,yes,no,22,3,10.86,60743.29
yes,married,2,no,selfemp,yes,no,22,3,10.86,61822.71
yes,single,0,no,not_selfemp,no,no,23,1,9.73,16849.9
no,single,1,no,not_selfemp,yes,no,23,1,9.82,18416.46
no,single,0,no,not_selfemp,yes,no,23,1,9.95,20906.18
no,single,0,no,not_selfemp,no,no,24,2,9.93,20629.97
yes,single,0,no,not_selfemp,yes,no,24,2,10.09,24004.58
yes,single,0,no,not_selfemp,yes,no,24,2,10.09,24215.25
no,single,0,no,not_selfemp,yes,no,24,3,10.11,24668.93
yes,single,2,no,not_selfemp,yes,no,24,2,10.39,32477.41
yes,single,2,no,not_selfemp,yes,no,24,2,10.39,39894.59
no,married,2,no,not_selfemp,yes,no,25,2,10.32,30184.99
no,married,0,no,not_selfemp,yes,no,25,2,10.32,30424.39
yes,married,1,no,not_selfemp,yes,no,25,5,10.44,32899.49
no,married,2,no,not_selfemp,yes,no,25,2,10.32,33327.12
yes,married,1,no,not_selfemp,yes,no,25,4,10.45,33635.96
yes,married,0,no,not_selfemp,yes,no,25,4,10.41,34124.62
yes,married,1,no,not_selfemp,yes,no,25,5,10.44,34365.21
yes,married,1,no,not_selfemp,yes,no,25,4,10.45,34710.59
no,married,0,yes,not_selfemp,yes,no,25,4,10.46,34975.39
yes,married,1,no,not_selfemp,yes,no,25,4,10.45,35019.36
yes,married,1,no,selfemp,yes,no,25,5,10.46,35024.39
no,married,1,no,not_selfemp,yes,no,25,2,10.55,36331.36
no,married,1,no,not_selfemp,no,no,25,6,10.51,36801.73
no,married,1,no,not_selfemp,yes,no,25,2,10.55,37990.83
no,married,0,no,not_selfemp,yes,no,25,2,10.55,38200.35
yes,married,1,no,not_selfemp,yes,no,25,5,10.59,38265.42
no,married,1,no,not_selfemp,yes,no,25,3,10.58,38727.96
no,married,0,no,not_selfemp,yes,no,25,7,10.57,39030.55
no,married,1,no,not_selfemp,yes,no,25,3,10.58,39434.64
yes,married,1,no,not_selfemp,yes,no,25,5,10.59,39660.06
yes,married,1,no,not_selfemp,yes,no,25,3,10.67,42012.18
yes,married,1,no,not_selfemp,yes,no,25,3,10.67,42907.42
yes,married,1,no,not_selfemp,yes,no,25,3,10.67,43383.2
yes,married,2,no,not_selfemp,yes,no,25,2,10.89,53396.47
yes,married,2,no,not_selfemp,yes,no,25,2,10.89,56181.15
no,single,0,no,not_selfemp,yes,no,26,1,9.87,19291.12
no,single,0,no,not_selfemp,no,no,26,1,9.88,19596.38
yes,single,1,no,not_selfemp,yes,no,28,1,9.57,13398.28
yes,single,0,no,not_selfemp,yes,no,28,2,10.31,29405.58
yes,single,0,no,not_selfemp,yes,no,28,2,10.31,30025.43
yes,married,1,no,not_selfemp,yes,no,28,2,10.42,33486.58
yes,married,1,no,not_selfemp,yes,no,28,2,10.42,34451.28
yes,married,1,no,not_selfemp,yes,no,28,2,10.49,34800.65
yes,married,1,no,not_selfemp,yes,no,28,2,10.49,34909.35
yes,married,1,no,not_selfemp,yes,no,28,3,10.47,35192.91
yes,married,1,no,not_selfemp,yes,no,28,2,10.49,35939.78
yes,married,1,no,not_selfemp,yes,no,28,2,10.49,36036.95
yes,married,1,no,not_selfemp,yes,no,28,2,10.49,36208.51
no,married,1,no,selfemp,yes,no,28,3,10.51,36691.49
no,married,1,no,not_selfemp,no,no,28,4,10.52,37201.34
no,married,1,no,selfemp,yes,no,28,3,10.51,38471.72
no,married,1,no,not_selfemp,yes,no,28,3,10.57,38917.53
yes,married,1,no,not_selfemp,yes,no,28,2,10.58,39038.66
yes,married,1,no,not_selfemp,yes,no,28,2,10.58,39533.35
yes,married,1,no,not_selfemp,yes,no,28,4,10.59,39545.67
yes,married,1,no,not_selfemp,yes,no,28,5,10.6,39603.29
yes,married,1,no,not_selfemp,yes,no,28,4,10.59,39679.9
yes,married,1,no,not_selfemp,yes,no,28,5,10.6,39994.61
no,married,1,no,not_selfemp,yes,no,28,2,10.6,40255.42
no,married,2,no,not_selfemp,yes,no,28,4,10.76,47103.38
yes,married,1,no,not_selfemp,yes,no,28,6,10.83,50437.99
yes,married,2,no,not_selfemp,yes,no,28,4,10.87,50842.95
yes,married,2,no,not_selfemp,yes,no,28,4,10.87,52833.46
no,married,2,no,not_selfemp,yes,no,28,4,10.76,52892.66
no,married,1,no,not_selfemp,yes,no,28,5,10.88,53257.82
yes,married,2,no,not_selfemp,yes,no,28,4,10.87,59061.32
yes,married,2,no,not_selfemp,yes,no,28,4,10.87,60749.9
no,single,0,no,not_selfemp,no,yes,30,1,10.26,28429.99
yes,single,0,no,not_selfemp,no,no,30,3,10.29,29416.18
no,single,0,no,not_selfemp,yes,no,30,1,10.45,34616.99
no,married,0,no,not_selfemp,no,no,33,4,10.6,40279.58
no,married,0,no,not_selfemp,yes,no,33,3,10.61,40668.13
no,married,0,no,not_selfemp,yes,no,33,3,10.7,44240.68
yes,married,1,no,not_selfemp,yes,no,33,2,10.7,44480.23
no,married,0,no,not_selfemp,yes,no,33,3,10.71,44990.2
no,married,0,yes,not_selfemp,yes,no,33,4,10.75,46765.45
no,married,0,yes,not_selfemp,yes,no,33,4,10.75,48196.6
no,married,1,no,not_selfemp,yes,no,33,2,10.8,48971.8
yes,married,2,no,selfemp,yes,no,33,3,10.83,49171.11
yes,married,1,no,not_selfemp,yes,no,33,3,10.83,50756.76
yes,married,2,no,selfemp,yes,no,33,3,10.83,51728.94
no,married,2,no,not_selfemp,yes,no,33,5,10.88,53061.13
yes,married,2,no,selfemp,yes,no,33,3,10.83,53813.31
yes,married,2,no,selfemp,yes,no,33,3,10.83,54100.25
yes,married,0,no,not_selfemp,yes,no,33,4,10.96,57218.69
no,married,2,no,not_selfemp,yes,no,33,5,10.88,57468.35
no,married,1,no,not_selfemp,yes,no,33,2,10.97,58168.54
yes,single,1,yes,not_selfemp,yes,no,38,2,10.68,43595.1
yes,married,3,no,selfemp,yes,no,38,2,10.89,53857.66
yes,married,3,no,selfemp,yes,no,38,2,10.89,58372.87
yes,married,3,no,selfemp,yes,no,38,2,10.89,58372.87
yes,married,3,no,selfemp,yes,no,38,2,10.89,58372.87
yes,married,1,no,selfemp,yes,no,38,3,11.06,63265.79
no,married,0,no,not_selfemp,yes,no,38,2,11.07,64125.67
no,married,1,no,not_selfemp,yes,no,38,4,11.13,68097.79
yes,married,3,no,selfemp,yes,no,38,6,11.19,72758.43
yes,married,1,no,not_selfemp,yes,no,38,2,11.2,72787.54
yes,married,3,no,selfemp,yes,no,38,6,11.19,80321.68
yes,married,3,no,selfemp,yes,no,38,6,11.19,80321.68
yes,married,3,no,selfemp,yes,no,38,6,11.19,80321.68
yes,married,1,no,not_selfemp,yes,no,38,2,11.39,88000.7
yes,single,0,yes,not_selfemp,yes,no,42,2,10.89,53755.43
no,single,1,no,not_selfemp,yes,no,42,1,11.04,62261.59
no,married,3,no,selfemp,yes,no,42,3,11.62,111146.01
no,married,3,no,selfemp,yes,no,42,3,11.62,113055.08
no,married,3,no,selfemp,yes,no,42,3,11.62,113055.08
no,married,3,no,selfemp,yes,no,42,3,11.62,113055.08
no,single,0,no,not_selfemp,yes,no,48,3,11.58,107280.27
yes,single,3,yes,not_selfemp,yes,no,50,2,12.81,364251.56
yes,single,3,yes,not_selfemp,yes,no,50,2,12.81,364635.95
yes,married,3,yes,not_selfemp,yes,no,50,2,12.81,372596.5
yes,married,3,yes,not_selfemp,yes,no,50,2,12.81,372596.5
yes,married,3,yes,not_selfemp,yes,no,50,2,12.81,372596.5
yes,married,3,yes,not_selfemp,yes,no,50,2,12.81,372945.86
yes,married,3,yes,not_selfemp,yes,no,50,2,12.81,372945.86
yes,married,3,yes,not_selfemp,yes,no,50,2,12.81,372945.86
no,single,0,no,not_selfemp,yes,no,0,2,7.48,52.36
no,single,0,no,not_selfemp,no,yes,0,1,5.77,320.99
no,single,0,no,not_selfemp,no,yes,0,1,6.53,686.02
no,single,0,no,not_selfemp,no,yes,0,1,6.91,1006.97
no,single,0,no,not_selfemp,no,yes,0,1,7.34,1545.03
no,single,0,no,not_selfemp,no,yes,0,1,7.41,1650.94
no,single,0,no,not_selfemp,yes,no,0,2,7.48,1769.94
no,single,0,no,not_selfemp,yes,no,0,1,7.51,1822.93
no,single,0,no,not_selfemp,no,yes,0,1,7.59,1986.04
no,single,0,no,not_selfemp,no,yes,0,1,7.67,2149.09
no,single,0,no,not_selfemp,no,yes,0,1,7.84,2549.88
no,single,0,no,not_selfemp,no,no,0,1,7.97,2900.97
no,single,0,no,not_selfemp,no,yes,0,1,8,2977.98
no,single,0,no,not_selfemp,yes,no,0,1,8.09,3261.04
no,single,0,no,not_selfemp,no,yes,0,1,8.09,3267.89
no,single,0,yes,not_selfemp,no,no,0,2,8.12,3364.05
no,married,0,no,not_selfemp,no,no,0,5,8.24,3797.13
no,single,0,yes,not_selfemp,no,no,0,2,8.36,4276.97
no,single,0,no,not_selfemp,no,yes,0,1,8.09,4510.73
no,single,0,no,not_selfemp,yes,no,0,1,8.55,5152.82
no,married,0,no,not_selfemp,yes,no,0,6,8.68,5889.93
no,married,0,yes,not_selfemp,yes,no,0,4,8.8,6617.02
no,married,2,no,selfemp,yes,no,0,5,9.34,11228.51
no,married,2,no,selfemp,yes,no,0,5,9.34,12508.65
no,married,2,no,selfemp,yes,no,0,5,9.34,13591.2
no,married,2,no,selfemp,yes,no,0,5,9.34,15105.49
no,married,1,no,not_selfemp,yes,no,0,4,10.3,29346.85
no,single,1,no,not_selfemp,yes,no,11,1,7.18,1313.04
no,single,0,no,not_selfemp,yes,no,11,1,8.1,3301.06
no,single,0,no,not_selfemp,no,yes,11,1,8.12,3372.13
no,single,0,no,not_selfemp,no,yes,11,1,8.16,3497.14
no,single,0,no,not_selfemp,no,yes,11,1,8.37,3730.55
no,single,0,no,not_selfemp,no,yes,11,1,8.23,3760.85
no,single,0,no,not_selfemp,no,yes,11,1,8.34,4172.21
no,single,0,no,not_selfemp,no,yes,11,1,8.37,4331.2
no,single,0,yes,not_selfemp,yes,no,11,3,8.8,6605.78
no,single,0,no,not_selfemp,no,no,11,4,8.91,7393.82
no,single,0,no,not_selfemp,no,no,11,4,8.97,7865.17
no,married,1,yes,not_selfemp,yes,no,11,4,9.17,8775.97
no,married,0,no,not_selfemp,no,no,11,3,9.17,9566.28
no,married,1,yes,not_selfemp,yes,no,11,4,9.17,9643.12
no,married,1,yes,not_selfemp,yes,no,11,4,9.17,11013.25